sample_idx,baseline,avg_kl,exact_match,num_masks
79,cond_sample,12.031462669372559,0,1
79,cond_topk_rescore,0.29727432131767273,0,1
79,gibbs,12.031462669372559,0,1
80,ground_truth,-5.959373083896935e-08,1,1
80,untouched,15.422359466552734,0,1
80,random_token,13.42623519897461,0,1
80,cond_argmax,11.284479141235352,0,1
80,cond_sample,11.284479141235352,0,1
80,cond_topk_rescore,11.537857055664062,0,1
80,gibbs,12.630777359008789,0,1
81,ground_truth,-1.7971615307033062e-09,1,1
81,untouched,10.515107154846191,0,1
81,random_token,3.030831813812256,0,1
81,cond_argmax,-1.7971615307033062e-09,1,1
81,cond_sample,-1.7971615307033062e-09,1,1
81,cond_topk_rescore,-1.7971615307033062e-09,1,1
81,gibbs,-1.7971615307033062e-09,1,1
82,ground_truth,-3.103779633306658e-08,1,1
82,untouched,7.638480186462402,0,1
82,random_token,20.181825637817383,0,1
82,cond_argmax,12.365516662597656,0,1
82,cond_sample,17.50295639038086,0,1
82,cond_topk_rescore,10.795418739318848,0,1
82,gibbs,11.9019775390625,0,1
83,ground_truth,7.869675755500793e-08,1,1
83,untouched,13.302085876464844,0,1
83,random_token,20.005069732666016,0,1
83,cond_argmax,8.790637016296387,0,1
83,cond_sample,12.239738464355469,0,1
83,cond_topk_rescore,9.674898147583008,0,1
83,gibbs,8.95421028137207,0,1
84,ground_truth,-1.5356818039435893e-08,1,1
84,untouched,8.618961334228516,0,1
84,random_token,10.61106014251709,0,1
84,cond_argmax,11.236637115478516,0,1
84,cond_sample,11.236637115478516,0,1
84,cond_topk_rescore,4.460641860961914,0,1
84,gibbs,8.618961334228516,0,1
85,ground_truth,-7.939524948596954e-08,1,1
85,untouched,4.371367454528809,0,1
85,random_token,15.003999710083008,0,1
85,cond_argmax,13.819368362426758,0,1
85,cond_sample,13.819368362426758,0,1
85,cond_topk_rescore,14.816274642944336,0,1
85,gibbs,4.371367454528809,0,1
86,ground_truth,2.608481786126049e-08,1,1
86,untouched,14.291799545288086,0,1
86,random_token,8.318944931030273,0,1
86,cond_argmax,13.83915901184082,0,1
86,cond_sample,13.83915901184082,0,1
86,cond_topk_rescore,3.939932346343994,0,1
86,gibbs,11.189140319824219,0,1
87,ground_truth,-1.3127760212228168e-08,1,1
87,untouched,9.0718412399292,0,1
87,random_token,8.588616371154785,0,1
87,cond_argmax,13.390706062316895,0,1
87,cond_sample,13.390706062316895,0,1
87,cond_topk_rescore,-1.3127760212228168e-08,1,1
87,gibbs,9.0718412399292,0,1
88,ground_truth,1.6770666633192377e-08,1,1
88,untouched,13.164596557617188,0,1
88,random_token,19.675134658813477,0,1
